user_id,skill_level,lat,lng,activity_score,reliability_score,play_style,preferred_slot,last_active_days,play_readiness_score
0,1,30.05517092848136,31.2147041836335,0.6857086089127591,0.7216203127284022,all_round,afternoon,9,0.6411
1,8,30.06193502742502,31.2692290993651,0.5119009276644848,0.7115338354669339,aggressive,evening,13,0.5061
2,7,30.04210193434628,31.28903723043797,0.5048692722767569,0.6334952266608747,all_round,morning,8,0.5422
3,5,29.90697872928861,31.22872096820445,0.4051561812334087,0.6525774855345443,defensive,evening,12,0.4507
4,5,29.83519172506939,31.36254231124808,0.7203305046960014,0.9419385560476402,defensive,evening,12,0.6938
5,9,30.02434828683123,31.32060086167892,0.7481581871540709,0.7037195050972265,all_round,evening,12,0.623
6,1,29.98225791730893,31.21946767068802,0.6916988799625732,0.602130559592584,all_round,afternoon,6,0.642
7,7,30.05675086173733,31.30000974497095,0.8237306886911598,0.6425553604707737,aggressive,evening,5,0.7289
8,3,30.0761562900977,31.39470347881505,0.665816174674531,0.8850556021045834,aggressive,night,14,0.6227
9,1,30.03105931456469,31.39683876806264,0.7205619687258362,0.8213409949746717,defensive,evening,11,0.6651
10,6,30.08081064683007,31.1417600095342,0.7046907366147613,0.8040493767348385,aggressive,evening,13,0.6252
11,10,30.03833690992921,31.16587735110743,0.6335227965047227,0.6813718201635313,all_round,evening,8,0.6169
12,8,30.06240517644812,31.35879350293871,0.5544520709366635,0.8060043705259418,all_round,afternoon,13,0.5583
13,8,29.96362613897041,31.15533751593299,1.0,0.6234658312574027,aggressive,night,10,0.7349
14,8,30.00563108689348,31.13419670933666,0.5686488236263685,0.6810578952981338,aggressive,afternoon,11,0.5476
15,8,30.03574208773255,31.20110446954407,0.5301420119983214,0.8654706731087618,all_round,evening,2,0.7148
16,6,30.08564227803339,31.27361813675796,0.7281217682210193,0.8511416518378596,defensive,morning,8,0.7189
17,2,29.98850070622203,31.23180826347111,0.695333794753101,0.5727135231073794,all_round,afternoon,10,0.58
18,9,30.06169338045857,31.18795491036755,0.3971375214301411,0.5916710320637136,all_round,evening,11,0.4391
19,5,29.99873289664677,31.18606300306204,0.8520820858214729,0.7363053229220115,aggressive,evening,14,0.6545
20,6,30.01059662661375,31.18301303484698,0.63304497643685,0.9789198562004264,all_round,night,4,0.7742
21,4,30.08636152336193,31.16963922970728,0.4500324028611703,0.4326652253296508,aggressive,night,4,0.5006
22,2,29.86055517031567,31.42253063018208,0.8639811405836973,0.7617499409355756,all_round,morning,14,0.6687
23,10,29.91628221375402,31.26380088569484,0.7626216028873077,0.5135935002640277,defensive,afternoon,14,0.5363
24,8,29.90142516820458,31.31094072435238,0.4223824414493755,0.6248503509711681,all_round,afternoon,2,0.5821
25,7,29.83331071041214,31.20087380255049,0.9698929112463903,0.6653357372903638,aggressive,evening,5,0.8027
26,5,29.96573884478758,31.22512346582511,0.7685835263059148,0.6569237484844663,aggressive,evening,14,0.5891
27,9,30.07995471197822,31.18291568149037,0.6481646991874918,0.6399306090511188,aggressive,night,2,0.689
28,6,29.99720927468939,31.02786333320646,0.9362393850119204,0.7210810590564555,all_round,evening,11,0.727
29,5,30.03582320655535,31.12975925785217,0.6786736010893353,0.6397116650054132,defensive,morning,1,0.716
30,5,30.10713739973686,31.09515050560157,0.6449450464812743,0.500631392271877,aggressive,evening,2,0.6388
31,3,30.12621489058142,31.06001729776387,0.531145979116042,0.8369804418784165,all_round,evening,11,0.5853
32,1,30.01446896522191,31.14437128205615,0.7547330790752742,0.8329308250723321,all_round,evening,9,0.7112
33,6,30.12828687116555,31.34599645435053,0.7357885341183164,0.8464761465034003,aggressive,morning,8,0.7207
34,9,30.02737013267473,31.23644510658365,0.652642425180148,0.4888898255603877,aggressive,afternoon,12,0.5048
35,1,29.9530081420938,31.34324510098569,0.5078024563038315,0.7648377228876226,all_round,evening,4,0.6429
36,9,29.9724479718241,31.27287860615207,0.6733873737498933,0.8213968283710384,all_round,afternoon,7,0.6972
37,9,29.9015570789948,31.30260470605721,0.6374362185628152,0.5653196897340622,all_round,evening,9,0.5647
38,3,29.94894929170131,31.16792824037563,0.4099746226278438,0.7213759872273193,defensive,afternoon,11,0.4903
39,7,29.99135866495405,31.28191607633541,0.3850737767616466,0.7025600032034451,defensive,evening,4,0.5658
40,2,30.08428680155029,31.29829713872595,0.7517276081857586,0.9963225987852395,defensive,evening,9,0.767
41,8,30.15766158649328,31.1938682166213,0.181660103290696,1.0,defensive,night,6,0.5517
42,8,29.90942547876984,31.28476322964929,0.6869738948530268,0.4703465410004699,defensive,morning,8,0.5671
43,4,30.05142619746079,31.28529502068599,0.5639450496043116,1.0,defensive,morning,12,0.6438
44,1,29.9367564848674,31.19603579030959,0.8854843892383838,0.5827161418270014,defensive,afternoon,5,0.7358
45,10,30.05797576707706,31.15017852541832,0.5611757223523024,0.8671009941491139,defensive,evening,10,0.6227
46,5,30.00951306794498,31.14526973344813,0.7687071585653413,0.8655746971295596,defensive,afternoon,14,0.6622
47,9,29.8735275339322,31.24692044335372,0.5785555085771975,0.5706464659737289,defensive,evening,11,0.5134
48,7,30.09426375932548,31.26616078950314,0.6704746676275058,0.7939901690758648,all_round,afternoon,14,0.5929
49,8,29.9715999429753,31.17659793356336,0.7826305755656092,0.7038699383600904,all_round,morning,8,0.6919
50,8,29.97728798093011,31.24212682730609,0.5667399710615756,0.8031495006948586,all_round,evening,4,0.6828
