user_id,candidate_id,skill_gap,distance_km,time_overlap,style_match,mutual_readiness,mutual_reliability,recency_bonus,common_opponents,prev_encounters,target
466,516,7,9.873932341942245,0,0,0.6745038028061814,0.6621168721849837,0.6666666666666667,0,0,0
695,156,1,8.36219040069267,1,1,0.7030015078219961,0.7858620002314978,0.4,5,1,1
547,317,2,20.39503968753545,0,1,0.6366509875905322,0.7614086965118712,0.4666666666666667,1,0,0
289,431,3,12.46511942242617,0,1,0.4570089714655501,0.7300782217774727,0.5333333333333333,1,1,1
504,253,1,17.5640004364727,0,0,0.6903242499000016,0.6982294806011012,0.7333333333333334,3,0,1
439,368,3,24.83184969157776,1,0,0.6110593588187648,0.6299824292525505,0.7333333333333334,6,0,0
183,472,2,18.9703389600555,0,1,0.5511085011138914,0.6487405133263383,0.8666666666666667,0,0,1
412,762,7,18.84722314685902,0,1,0.6316140593748686,0.7275692793014576,0.9333333333333333,2,0,1
498,248,2,9.701434953339083,0,1,0.5920662969634397,0.7335719365807255,0.4,3,0,1
723,70,6,3.349124232748751,0,0,0.6492081792460721,0.6334650918589827,1.0,1,2,0
464,694,0,10.90843687415358,0,1,0.6560238181651639,0.7587782482153913,0.6,1,1,1
131,461,4,14.99776540663819,0,1,0.6236434878999378,0.7174591335277372,0.5333333333333333,1,0,0
790,377,7,13.70760914750303,0,1,0.7129454607471738,0.7958180257045367,1.0,0,0,0
462,576,2,4.358485488987648,0,0,0.7703760510296255,0.8000740435751228,0.7333333333333334,4,1,0
229,784,3,4.897741814154621,1,0,0.6946300022314038,0.7254777196535842,0.9333333333333333,2,0,1
603,102,7,8.290416623687484,0,0,0.5882356925586887,0.6518421167774752,0.5333333333333333,0,0,0
307,688,1,11.91043525511784,1,0,0.4891607097876934,0.5616288761933227,0.1333333333333333,5,0,1
296,509,6,2.901088023076702,0,0,0.8024806539724182,0.7831888869278946,1.0,2,1,0
671,468,5,9.927923985770159,1,0,0.6081718507132667,0.6199986882559754,1.0,1,1,1
694,691,7,24.29724687795093,0,0,0.662012839754638,0.6655459206602086,0.6,0,0,0
419,243,1,31.60271134798698,0,0,0.5938495263953656,0.7132646192246439,1.0,0,1,0
298,630,5,4.424199292990013,0,0,0.636282932350067,0.691929046919961,0.8,1,1,0
690,456,8,24.49248533803775,0,1,0.6477026478253737,0.5505434642570383,0.8666666666666667,2,0,0
138,748,0,18.5062608376244,0,0,0.5691049815280129,0.6993497486256252,0.2,3,0,0
597,374,1,6.451905076048742,1,0,0.6668436098516654,0.6643527559431525,0.6,4,0,1
467,576,4,9.383951494905192,1,0,0.6704658753434063,0.8066607470057214,0.7333333333333334,3,1,1
683,397,8,11.26628861775707,0,1,0.7028713111231671,0.832132536868207,0.9333333333333333,1,0,0
336,315,3,18.35711583512823,0,1,0.5853167603955998,0.7267630592615459,0.2666666666666667,3,0,0
665,300,3,10.15513709628568,0,1,0.5014175106635188,0.6712514600889807,0.1333333333333333,3,0,1
12,736,0,28.60303919235989,0,1,0.5595984899908147,0.7365933188227388,0.8666666666666667,3,0,0
606,670,6,15.02021056594808,0,0,0.6666980125964078,0.6736162463610187,0.9333333333333333,1,0,0
55,180,9,4.450378427788947,1,0,0.8921479697897653,0.907642624391385,1.0,2,0,0
513,692,1,12.64794923335011,0,1,0.7310341168509169,0.8133546530950901,0.9333333333333333,1,0,1
156,466,0,5.926946363719911,0,0,0.700143656687683,0.6070500270804252,0.6666666666666667,2,0,0
770,83,2,8.906321440477694,1,1,0.6715992852884821,0.7447357850906733,0.6666666666666667,1,0,1
615,612,1,10.88997812223243,0,0,0.5347252846088354,0.6101737883738567,0.4666666666666667,0,0,0
83,129,2,15.05917283467561,0,0,0.6833458860635658,0.8976838881410822,0.6666666666666667,0,0,1
713,697,2,13.86774415897907,1,0,0.6450153486545882,0.8611851454532492,0.9333333333333333,2,1,1
201,363,1,11.4340267594872,0,1,0.636244858525395,0.8509116283845689,0.2666666666666667,2,1,0
436,733,2,17.24497631565928,1,0,0.6079831905571074,0.6207571644772175,0.4,6,0,1
68,386,0,8.381108308179462,0,0,0.6979051798059676,0.7190650185695506,0.7333333333333334,0,0,1
84,67,3,18.08146283993326,0,0,0.7200119165680523,0.5792131036168917,1.0,1,0,0
193,613,0,15.31285249962233,0,1,0.6674474361326141,0.803647315352074,0.3333333333333334,1,0,1
427,580,8,10.22109025201318,0,0,0.5379530091002374,0.6404913788521188,0.8,1,0,0
434,241,1,16.6146043230745,1,0,0.5987658807914826,0.6944148124809487,0.6666666666666667,3,0,1
684,163,3,10.74915559561803,0,0,0.6165429425433399,0.6611612014900341,0.4,1,0,0
132,691,7,30.51001169712709,0,0,0.6317589730268973,0.623950055389301,0.6,2,0,0
599,623,2,2.973120812232687,0,1,0.6906452345452041,0.7481160432906849,0.8666666666666667,2,0,0
4,238,1,26.84138865200525,0,1,0.6486830504953863,0.8087758937947069,0.8,0,0,1
232,560,5,14.61525942363035,0,0,0.6116082079239944,0.7675909895075338,0.8666666666666667,1,1,0
140,192,3,15.18979226061471,0,0,0.7504080356712606,0.7266328759920886,0.6666666666666667,1,0,1
99,145,7,12.29971649766576,0,0,0.825354469303947,0.8068689841973685,0.9333333333333333,1,0,0
467,531,4,4.567266843965,1,0,0.6546367466007388,0.7319960633282919,0.7333333333333334,0,2,1
720,666,4,13.28440247778676,0,0,0.735622824550734,0.8323552996275057,0.5333333333333333,2,0,0
